Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
HTI,2005-01-01,2005-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,28.4800300200,E
HTI,2006-01-01,2006-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,39.2350685100,E
HTI,2007-01-01,2007-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,28.3839446100,E
HTI,2008-01-01,2008-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,39.1131417100,E
HTI,2009-01-01,2009-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,52.7813590700,E
HTI,2010-01-01,2010-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,79.2749379400,E
HTI,2011-01-01,2011-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,89.9585306000,E
HTI,2012-01-01,2012-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,99.6345922700,E
HTI,2013-01-01,2013-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,92.9433957300,E
HTI,2014-01-01,2014-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,86.7649573400,E
HTI,2015-01-01,2015-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100.0000000000,E
HTI,2016-01-01,2016-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,139.3712900000,E
HTI,2017-01-01,2017-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,180.1677750000,E
HTI,2018-01-01,2018-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,152.1348440000,E
HTI,2019-01-01,2019-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,182.4459285000,E
HTI,2020-01-01,2020-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2020,2020,LCU,334.7286240000,E
HTI,2021-01-01,2021-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6180,"Value Local Currency, 2015 prices",2021,2021,LCU,436.7419306000,E
HTI,1970-01-01,1970-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,7.9610795750,E
HTI,1971-01-01,1971-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,8.9488133720,E
HTI,1972-01-01,1972-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,8.4645586750,E
HTI,1973-01-01,1973-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,9.7993912240,E
HTI,1974-01-01,1974-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,10.8465266600,E
HTI,1975-01-01,1975-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,13.2822198500,E
HTI,1976-01-01,1976-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,14.6350385400,E
HTI,1977-01-01,1977-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,14.8736533100,E
HTI,1978-01-01,1978-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,16.2886078300,E
HTI,1979-01-01,1979-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,14.9051749700,E
HTI,1980-01-01,1980-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,19.3984772000,E
HTI,1981-01-01,1981-12-31,93,'332,Haiti,22025,Gross Fixed Capital Formation Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,19.4719110000,E
